Lintang,Bujur,Tinggi_Ortometrik,FAA
-7.80155,108.46737,14.000,144.81322
-7.80132,108.46665,14.000,144.94676
-7.80109,108.46593,14.000,145.08529
-7.80086,108.46521,14.000,145.22879
-7.80063,108.46449,14.000,145.37718
-7.80040,108.46378,14.000,145.53038
-7.80018,108.46306,14.000,145.68830
-7.79995,108.46234,15.000,145.85093
-7.79972,108.46162,15.000,146.01805
-7.79949,108.46090,15.000,146.18964
-7.79927,108.46018,15.000,146.36549
-7.79904,108.45947,15.000,146.54558
-7.79881,108.45875,15.000,146.72960
-7.79858,108.45803,18.000,146.91748
-7.79836,108.45731,18.000,147.10906
-7.79813,108.45659,18.000,147.30427
-7.79790,108.45588,18.000,147.50279
-7.79767,108.45516,18.000,147.70451
-7.79744,108.45444,18.000,147.90923
-7.79722,108.45373,16.000,148.11674
-7.79699,108.45301,16.000,148.32686
-7.79676,108.45229,16.000,148.53933
-7.79654,108.45158,16.000,148.75399
-7.79631,108.45086,16.000,148.97059
-7.79609,108.45015,16.000,149.18893
-7.79586,108.44943,15.000,149.40883
-7.79563,108.44871,20.000,149.63002
-7.79541,108.44800,20.000,149.85228
-7.79518,108.44728,20.000,150.07540
-7.79495,108.44657,20.000,150.29917
-7.79473,108.44585,20.000,150.52321
-7.79450,108.44513,25.000,150.74748
-7.79428,108.44442,25.000,150.97173
-7.79405,108.44370,25.000,151.19557
-7.79382,108.44299,25.000,151.41893
-7.79360,108.44227,25.000,151.64155
-7.79337,108.44156,22.000,151.86318
-7.79314,108.44084,22.000,152.08367
-7.79292,108.44012,22.000,152.30278
-7.79269,108.43941,22.000,152.52029
-7.79246,108.43869,22.000,152.73594
-7.79224,108.43798,22.000,152.94959
-7.79201,108.43726,27.000,153.16104
-7.79179,108.43655,27.000,153.37020
-7.79156,108.43583,47.000,153.57668
-7.79133,108.43511,47.000,153.78039
-7.79111,108.43440,47.000,153.98122
-7.79088,108.43369,47.000,154.17898
-7.79065,108.43297,45.000,154.37337
-7.79042,108.43226,45.000,154.56440
-7.79020,108.43154,45.000,154.75196
-7.78997,108.43083,45.000,154.93578
-7.78975,108.43011,45.000,155.11581
-7.78952,108.42940,45.000,155.29193
-7.78930,108.42868,46.000,155.46400
-7.78907,108.42797,46.000,155.63195
-7.78885,108.42725,46.000,155.79561
-7.78862,108.42654,46.000,155.95496
-7.78839,108.42582,46.000,156.10978
-7.78817,108.42511,46.000,156.26015
-7.78794,108.42439,46.000,156.40609
-7.78771,108.42368,46.000,156.54731
-7.78749,108.42296,62.000,156.68393
-7.78726,108.42225,62.000,156.81590
-7.78704,108.42153,62.000,156.94305
-7.78681,108.42082,66.000,157.06542
-7.78659,108.42010,66.000,157.18299
-7.78636,108.41938,66.000,157.29576
