Lintang,Bujur,Tinggi_Ortometrik,FAA
-7.83589,108.576,-88.53234863,147.2699557
-7.83567,108.57529,-88.53234863,148.6718275
-7.83544,108.57457,-98.64285278,150.082413
-7.83522,108.57386,-98.64285278,151.4971148
-7.83499,108.57314,-98.64285278,152.9455012
-7.83476,108.57243,-98.64285278,154.3841042
-7.83454,108.57171,-98.64285278,155.8368164
-7.83431,108.57099,-98.64285278,157.3071088
-7.83409,108.57028,-108.2923813,158.7307935
-7.83386,108.56956,-108.2923813,160.2156471
-7.83363,108.56885,-108.2923813,161.6909986
-7.83341,108.56813,-108.2923813,163.1805135
-7.83318,108.56742,-113.7955475,164.3263243
-7.83295,108.5667,-113.7955475,165.3249002
-7.83273,108.56599,-122.0440598,165.5787125
-7.8325,108.56527,-122.0440598,165.8107218
-7.83227,108.56455,-122.0440598,166.0345019
-7.83204,108.56384,-122.0440598,166.2435269
-7.83182,108.56312,-122.0440598,166.4630106
-7.83159,108.56241,-126.4902802,166.6416741
-7.83136,108.56169,-126.4902802,166.8337074
-7.83114,108.56097,-126.4902802,167.0304317
-7.83091,108.56026,-126.4902802,167.2009709
-7.83068,108.55954,-126.4902802,167.370502
-7.83046,108.55882,-126.4902802,167.5456345
-7.83023,108.5581,-125.3088608,167.7049886
-7.83,108.55739,-125.3088608,167.8466847
-7.82978,108.55667,-125.3088608,168.0011817
-7.82955,108.55595,-125.3088608,168.135346
-7.82932,108.55523,-125.3088608,168.2626416
-7.82909,108.55451,-134.2262421,168.348922
-7.82887,108.55379,-128.2615051,168.4998913
-7.82864,108.55308,-128.2615051,168.6011331
-7.82841,108.55236,-128.2615051,168.701997
-7.82818,108.55164,-128.2615051,168.7964557
-7.82795,108.55092,-128.2615051,168.8846106
-7.82772,108.5502,-128.2615051,168.9665375
-7.82749,108.54948,-119.8402405,167.3665843
-7.82726,108.54876,-119.8402405,165.0767887
-7.82703,108.54805,-119.8402405,162.817503
-7.82681,108.54733,-119.8402405,160.550359
-7.82658,108.54661,-119.8402405,158.2717322
-7.82635,108.54589,-119.8402405,155.9970039
-7.82612,108.54517,-109.4300156,153.7708734
-7.82589,108.54445,-109.4300156,151.5044537
-7.82566,108.54373,-109.4300156,149.2421375
-7.82544,108.54301,-109.4300156,146.9991483
-7.82521,108.54229,-109.4300156,144.7452193
-7.82498,108.54157,-104.907074,142.5155161
-7.82475,108.54085,-104.907074,140.2703487
-7.82452,108.54013,-104.907074,138.0295977
-7.8243,108.53941,-104.907074,135.8083642
-7.82407,108.53868,-104.907074,133.5504228
-7.82384,108.53796,-104.907074,131.3232813
-7.82361,108.53724,-88.02581024,129.176786
-7.82338,108.53652,-88.02581024,126.9591891
-7.82315,108.5358,-88.02581024,124.7462876
-7.82292,108.53508,-88.02581024,122.5381283
-7.8227,108.53436,-88.02581024,120.349614
-7.82247,108.53364,-88.02581024,118.1510312
-7.82224,108.53292,-69.80361176,118.5566632
-7.82201,108.53219,-69.80361176,120.8668511
-7.82178,108.53147,-69.80361176,123.2474647
-7.82155,108.53075,-69.80361176,125.7337182
-7.82133,108.53003,-69.80361176,128.3302855
-7.8211,108.52931,-69.80361176,131.0256558
-7.82087,108.52859,-52.99990082,133.9028606
-7.82065,108.52786,-57.73480988,136.826641
-7.82042,108.52714,-57.73480988,139.8376425
-7.82019,108.52642,-57.73480988,142.9543787
-7.81997,108.5257,-57.73480988,146.1681759
-7.81974,108.52498,-46.61397552,149.5440539
-7.81951,108.52425,-46.61397552,153.019875
-7.81929,108.52353,-46.61397552,156.5426261
-7.81906,108.52281,-46.61397552,160.1842375
-7.81883,108.52209,-46.61397552,163.9315765
-7.8186,108.52137,-46.61397552,167.7846272
-7.81838,108.52065,-37.94461823,171.757192
-7.81815,108.51993,-37.94461823,175.8192551
-7.81792,108.5192,-37.94461823,180.0364544
-7.81769,108.51848,-37.94461823,184.3105948
-7.81746,108.51776,-37.94461823,188.6903657
-7.81723,108.51704,-37.94461823,193.175749
-7.817,108.51632,-30.52857399,195.6674022
-7.81678,108.5156,-30.52857399,195.8018343
-7.81655,108.51488,-34.83798981,195.2466545
-7.81632,108.51416,-34.83798981,194.0677987
-7.81609,108.51344,-34.83798981,192.9196405
-7.81587,108.51272,-34.83798981,191.8237739
-7.81564,108.51199,-29.32227707,190.7504343
-7.81541,108.51127,-29.32227707,189.6935968
-7.81519,108.51055,-29.32227707,188.687138
-7.81496,108.50983,-29.32227707,187.6907274
-7.81473,108.50911,-29.32227707,186.7247452
-7.8145,108.50839,-29.32227707,185.7891559
-7.81428,108.50767,-26.08219147,184.9136977
-7.81405,108.50695,-26.08219147,184.0379808
-7.81382,108.50622,-26.08219147,183.1861599
-7.8136,108.5055,-26.08219147,182.3867708
-7.81337,108.50478,-26.08219147,181.6011613
-7.81314,108.50406,-26.12781906,180.8454224
-7.81292,108.50334,-26.12781906,180.1337741
-7.81269,108.50262,-26.12781906,179.4374698
-7.81247,108.5019,-28.84815598,178.7745215
-7.81224,108.50118,-28.84815598,178.1373597
-7.81201,108.50046,-28.84815598,177.5298831
-7.81179,108.49974,-28.75679779,176.7933489
-7.81156,108.49902,-28.75679779,175.7667421
-7.81133,108.4983,-28.75679779,174.7594478
-7.8111,108.49758,-28.75679779,173.7713918
-7.81088,108.49686,-28.75679779,172.8121388
-7.81065,108.49613,-28.75679779,171.8518391
-7.81042,108.49541,-29.05967903,170.9198863
-7.81019,108.49469,-29.05967903,170.007724
-7.80997,108.49397,-29.05967903,169.1225768
-7.80974,108.49325,-29.05967903,168.2475751
-7.80951,108.49253,-29.05967903,167.3912012
-7.80928,108.49182,-29.05967903,166.5625982
-7.80905,108.4911,-27.84849358,165.7460905
-7.80882,108.49038,-27.84849358,164.9448237
-7.8086,108.48966,-27.84849358,164.1678635
-7.80837,108.48894,-27.84849358,163.4026528
-7.80814,108.48822,-22.52531052,162.667332
-7.80791,108.4875,-22.52531052,161.937771
-7.80768,108.48678,-19.35443878,161.2326672
-7.80746,108.48606,-19.35443878,160.5427705
-7.80723,108.48534,-19.35443878,159.8659141
-7.807,108.48462,-19.35443878,159.2066158
-7.80677,108.4839,-19.35443878,158.5647783
-7.80654,108.48319,-16.77591324,157.944592
-7.80632,108.48247,-16.77591324,157.293911
-7.80609,108.48175,-16.77591324,156.6460677
-7.80586,108.48103,-16.77591324,156.003857
-7.80564,108.48031,-16.77591324,155.3696493
-7.80541,108.47959,-16.77591324,154.7382875
-7.80519,108.47887,-14.7099781,154.1171471
-7.80496,108.47815,-14.7099781,153.4960681
-7.80474,108.47743,-14.7099781,152.8821642
-7.80451,108.47671,-14.7099781,152.271107
-7.80428,108.47599,-14.7099781,151.6649567
-7.80406,108.47527,14,151.0910335
-7.80383,108.47455,16,150.4937467
-7.8036,108.47383,16,149.8992711
-7.80337,108.47312,16,149.3169839
-7.80314,108.4724,16,148.7313629
-7.80291,108.47168,16,148.1500322
-7.80268,108.47096,16,147.5728904
-7.80246,108.47024,14,147.0001744
-7.80223,108.46952,14,146.4311623
-7.802,108.4688,14,145.8660396
-7.80177,108.46808,14,145.3047075
-7.80155,108.46737,14,144.7552507
-7.80132,108.46665,14,144.2321101
-7.80109,108.46593,14,145.0219404
-7.80086,108.46521,14,145.8161325
-7.80063,108.46449,14,146.6145918
-7.8004,108.46378,14,147.4060104
-7.80018,108.46306,14,148.2127109
-7.79995,108.46234,15,149.062334
-7.79972,108.46162,15,150.0514926
-7.79949,108.4609,15,151.0330863
-7.79927,108.46018,15,151.9994206
-7.79904,108.45947,15,152.9547757
-7.79881,108.45875,15,153.9133521
-7.79858,108.45803,18,154.8614226
-7.79836,108.45731,18,155.7968276
-7.79813,108.45659,18,156.7313668
-7.7979,108.45588,18,157.6471179
-7.79767,108.45516,18,158.5653525
-7.79744,108.45444,18,159.4752846
-7.79722,108.45373,16,160.3625635
-7.79699,108.45301,16,161.2560105
-7.79676,108.45229,16,162.1409323
-7.79654,108.45158,16,163.001084
-7.79631,108.45086,16,163.8689691
-7.79609,108.45015,16,164.7123747
-7.79586,108.44943,15,165.8785614
-7.79563,108.44871,20,167.0960162
-7.79541,108.448,20,168.2793867
-7.79518,108.44728,20,169.4601647
-7.79495,108.44657,20,170.6033071
-7.79473,108.44585,20,171.7353819
-7.7945,108.44513,25,172.8381162
-7.79428,108.44442,25,173.9110172
-7.79405,108.4437,25,174.9779951
-7.79382,108.44299,25,176.0079739
-7.7936,108.44227,25,177.0279623
-7.79337,108.44156,22,178.0193586
-7.79314,108.44084,22,178.9946441
-7.79292,108.44012,22,179.9470462
-7.79269,108.43941,22,180.8631921
-7.79246,108.43869,22,181.7691859
-7.79224,108.43798,22,182.6408747
-7.79201,108.43726,27,183.4879921
-7.79179,108.43655,27,184.3144936
-7.79156,108.43583,47,185.075332
-7.79133,108.43511,47,185.8643535
-7.79111,108.4344,47,186.6220946
-7.79088,108.43369,47,187.3532148
-7.79065,108.43297,45,186.8757737
-7.79042,108.43226,45,185.1823599
-7.7902,108.43154,45,183.4131178
-7.78997,108.43083,45,181.5985546
-7.78975,108.43011,45,179.7097941
-7.78952,108.4294,45,177.7740375
-7.7893,108.42868,46,175.7627238
-7.78907,108.42797,46,173.7057211
-7.78885,108.42725,46,171.5778173
-7.78862,108.42654,46,169.3996003
-7.78839,108.42582,46,167.1342062
-7.78817,108.42511,46,164.852709
-7.78794,108.42439,46,162.4652328
-7.78771,108.42368,46,160.0433586
-7.78749,108.42296,62,157.5037869
-7.78726,108.42225,62,154.9603588
-7.78704,108.42153,62,152.3527108
-7.78681,108.42082,66,149.6750164
-7.78659,108.4201,66,146.9479118
-7.78636,108.41938,66,144.1321915
-7.78614,108.41867,66,141.3159504
-7.78592,108.41795,66,138.4103703
-7.78569,108.41724,66,135.4438884
-7.78547,108.41652,65,133.0153103
-7.78524,108.41581,65,132.8770139
-7.78502,108.41509,65,132.8500782
-7.78479,108.41438,65,132.8531558
-7.78457,108.41367,65,132.9549528
-7.78435,108.41295,65,133.1357309
-7.78412,108.41224,59,133.3711872
-7.7839,108.41153,59,133.6795744
-7.78367,108.41081,59,134.0475124
-7.78345,108.4101,59,134.4944378
-7.78322,108.40939,68,135.2683427
-7.783,108.40868,68,136.3020128
-7.78277,108.40796,59,137.2523136
-7.78255,108.40725,59,138.0223702
-7.78232,108.40654,59,138.6604034
-7.7821,108.40583,59,139.1678605
-7.78187,108.40512,59,139.5375892
-7.78165,108.4044,59,139.7885391
-7.78142,108.40369,53,139.910982
-7.7812,108.40298,53,139.8929167
-7.78097,108.40227,53,139.7256733
-7.78074,108.40156,53,139.4230977
-7.78052,108.40084,53,139.0117718
-7.78029,108.40013,53,138.4406126
-7.78007,108.39942,73,140.4549727
-7.77984,108.39871,73,142.9138511
-7.77962,108.398,73,145.1877449
-7.77939,108.39728,73,147.2383237
-7.77917,108.39657,73,149.0701907
-7.77894,108.39586,55,150.6926462
-7.77872,108.39515,65,152.0476682
-7.77849,108.39444,65,153.1543466
-7.77827,108.39372,65,154.140175
-7.77804,108.39301,65,154.7954879
-7.77782,108.3923,65,155.3057091
-7.77759,108.39159,83,155.4458814
-7.77737,108.39087,83,155.544514
-7.77714,108.39016,83,155.2994335
-7.77692,108.38945,83,154.9292181
-7.77669,108.38874,83,154.2350827
-7.77647,108.38802,83,153.4474398
-7.77624,108.38731,96,152.2557628
-7.77601,108.3866,96,150.8844358
-7.77579,108.38588,96,149.4298609
-7.77556,108.38517,96,147.6084503
-7.77533,108.38446,96,145.5604295
-7.77511,108.38375,96,143.4271836
-7.77488,108.38303,96,141.8203021
-7.77465,108.38232,96,141.3154249
-7.77443,108.38161,96,140.9562496
-7.7742,108.38089,96,140.494169
-7.77398,108.38018,96,140.1382052
-7.77375,108.37947,96,139.639911
-7.77353,108.37875,96,139.3270094
-7.7733,108.37804,96,138.832332
-7.77307,108.37733,96,138.3395521
-7.77285,108.37661,96,138.0322226
-7.77262,108.3759,96,137.5433589
-7.77239,108.37519,96,137.0565395
-7.77217,108.37447,94,136.7624047
-7.77194,108.37376,94,136.2797848
-7.77171,108.37305,94,135.7993518
-7.77148,108.37233,94,135.3609344
-7.77125,108.37162,94,134.8850179
-7.77103,108.37091,94,134.554899
-7.7708,108.37019,117,134.0411441
-7.77057,108.36948,117,133.5722406
-7.77034,108.36876,117,133.1456541
-7.77012,108.36804,117,132.8649016
-7.76989,108.36733,117,132.403384
-7.76966,108.36661,110,132.1328243
-7.76943,108.36589,110,133.3531485
-7.76921,108.36518,110,134.7780124
-7.76898,108.36446,110,136.2559648
-7.76875,108.36374,110,137.8646441
-7.76852,108.36303,110,139.5378259
-7.76829,108.36231,93,141.4685309
-7.76807,108.36159,93,143.5920795
-7.76784,108.36088,93,145.6513402
-7.76762,108.36016,93,148.0272506
-7.76739,108.35945,93,150.3427323
-7.76717,108.35873,93,152.9710955
-7.76694,108.35801,101,155.5862205
-7.76671,108.3573,101,158.2879587
-7.76648,108.35658,104,160.9586963
-7.76625,108.35587,104,163.4098565
-7.76603,108.35515,104,165.9239967
-7.7658,108.35444,104,168.1180228
-7.76557,108.35372,105,170.2481596
-7.76535,108.35301,105,172.312222
-7.76512,108.35229,105,174.187197
-7.76489,108.35157,105,175.9308616
-7.76466,108.35086,105,177.4774387
-7.76444,108.35014,105,179.1008741
-7.76421,108.34943,111,178.8529205
-7.76398,108.34871,111,178.2574647
-7.76376,108.34799,111,177.7803909
-7.76353,108.34728,111,177.097968
-7.76331,108.34656,111,176.5721779
-7.76308,108.34584,111,175.8768121
-7.76286,108.34513,110,175.2695197
-7.76263,108.34441,110,174.5242449
-7.76241,108.34369,126,173.83851
-7.76218,108.34298,126,173.006818
-7.76196,108.34226,126,172.3342048
-7.76173,108.34155,131,171.4330725
-7.7615,108.34083,131,170.5619132
-7.76128,108.34011,131,169.8153748
-7.76105,108.3394,131,168.8586908
-7.76083,108.33868,131,168.0630654
-7.7606,108.33796,131,167.0912314
-7.76037,108.33725,133,166.0510531
-7.76015,108.33653,133,165.1811766
-7.75992,108.33582,133,164.0989201
-7.75969,108.3351,133,163.0254936
-7.75946,108.33439,133,161.8923745
-7.75924,108.33367,133,160.9230286
-7.75901,108.33296,123,159.4908299
-7.75878,108.33224,123,157.8385064
-7.75856,108.33152,123,156.4212857
-7.75833,108.33081,90,155.0488019
-7.75811,108.33009,90,153.7943306
-7.75788,108.32937,90,152.4744392
-7.75766,108.32866,72,151.4316884
-7.75743,108.32794,72,150.2775293
-7.75721,108.32722,72,149.3474811
-7.75698,108.32651,72,148.3278692
-7.75676,108.32579,72,147.5592537
-7.75654,108.32507,72,146.8706524
-7.75631,108.32436,48,146.2050815
-7.75608,108.32364,48,145.5468044
-7.75586,108.32293,48,145.0676468
-7.75563,108.32221,48,144.5738413
-7.75541,108.3215,48,144.254339
-7.75518,108.32079,85,143.7160439
-7.75496,108.32007,85,143.5906921
-7.75473,108.31936,85,143.3872907
-7.75451,108.31865,85,143.3848842
-7.75428,108.31793,85,143.3815358
-7.75406,108.31722,81,143.5573162
-7.75383,108.31651,67,143.6150813
-7.75361,108.3158,67,143.358707
-7.75338,108.31508,67,143.1413118
-7.75316,108.31437,67,143.1181173
-7.75293,108.31366,67,143.1065892
-7.75271,108.31295,67,143.3155272
-7.75248,108.31224,98,143.3865896
-7.75226,108.31153,98,143.826612
-7.75203,108.31082,98,144.2884307
-7.75181,108.31011,98,144.9601168
-7.75158,108.3094,98,145.6586709
-7.75136,108.30869,98,146.5617861
-7.75113,108.30798,104,147.4660746
-7.75091,108.30727,104,148.6002219
-7.75068,108.30656,104,149.7713665
-7.75046,108.30585,104,151.1364627
-7.75024,108.30514,104,152.6156539
-7.75001,108.30443,104,154.1394271
-7.74979,108.30372,112,155.916719
-7.74956,108.30301,112,157.6626367
-7.74934,108.3023,112,159.450683
-7.74911,108.30159,112,161.1562011
-7.74889,108.30088,112,162.904617
-7.74866,108.30017,112,164.5695115
-7.74844,108.29946,111,163.9327009
-7.74821,108.29876,111,162.5480952
-7.74799,108.29805,111,161.2968668
-7.74777,108.29734,111,160.1159029
-7.74754,108.29663,111,158.9488058
-7.74732,108.29592,111,157.9098066
-7.74709,108.29522,105,156.9174206
-7.74687,108.29451,105,156.0197854
-7.74664,108.2938,105,155.142208
-7.74642,108.29309,105,154.3861174
-7.74619,108.29239,105,153.6478688
-7.74597,108.29168,105,153.0326538
-7.74575,108.29098,106,152.4753521
-7.74552,108.29027,106,151.9572345
-7.7453,108.28956,106,151.5524082
-7.74507,108.28886,106,151.1707019
-7.74485,108.28815,106,150.9062999
-7.74463,108.28745,103,150.719644
-7.7444,108.28674,103,150.5599429
-7.74418,108.28604,103,150.4955956
-7.74396,108.28533,103,150.510005
-7.74373,108.28462,103,150.5646458
-7.74351,108.28392,103,150.708289
-7.74329,108.28321,102,150.8327438
-7.74306,108.28251,102,150.4667963
-7.74284,108.2818,102,150.155761
-7.74262,108.28109,102,149.8701841
-7.7424,108.28039,102,149.606145
-7.74218,108.27968,102,149.3712356
-7.74196,108.27897,96,149.1958102
-7.74173,108.27827,96,148.9852347
-7.74151,108.27757,103,148.7824964
-7.74129,108.27686,103,148.6492626
-7.74106,108.27616,103,148.5162312
-7.74084,108.27546,103,148.4289289
-7.74062,108.27475,102,148.3774873
-7.74039,108.27405,102,148.3218281
-7.74017,108.27335,102,148.3100764
-7.73995,108.27265,102,148.3232255
-7.73972,108.27194,102,148.3506265
-7.7395,108.27124,102,148.4143361
-7.73928,108.27054,96,148.5365231
-7.73906,108.26984,96,148.6499324
-7.73884,108.26913,96,148.7948371
-7.73861,108.26843,96,148.9446053
-7.73839,108.26773,96,149.1334357
-7.73817,108.26703,96,149.3471583
-7.73795,108.26632,93,149.4358815
-7.73772,108.26562,93,149.2778476
-7.7375,108.26492,93,149.0809341
-7.73727,108.26422,103,148.7620462
-7.73705,108.26351,103,148.4619582
-7.73683,108.26281,103,148.1092982
-7.7366,108.26211,80,147.809502
-7.73638,108.26141,80,147.3522744
-7.73616,108.2607,80,146.8428164
-7.73593,108.26,80,146.2594955
-7.73571,108.2593,80,145.6465492
-7.73549,108.25859,80,144.9802889
-7.73526,108.25789,86,144.2066217
-7.73504,108.25719,86,143.4383621
-7.73482,108.25649,86,142.6188337
-7.73459,108.25578,86,141.7148968
-7.73437,108.25508,86,140.7914331
-7.73415,108.25438,86,139.8168075
-7.73392,108.25368,104,138.6675141
-7.7337,108.25297,104,137.5851697
-7.73348,108.25227,104,136.4564179
-7.73326,108.25157,144,134.9670544
-7.73303,108.25086,144,133.2171406
-7.73281,108.25016,144,131.3022039
-7.73258,108.24946,133,134.3575347
-7.73236,108.24876,133,138.6581255
-7.73214,108.24805,133,142.7217107
-7.73191,108.24735,133,146.2939981
-7.73169,108.24665,133,149.6319107
-7.73147,108.24594,133,152.7260256
-7.73124,108.24524,119,155.3778542
-7.73102,108.24453,119,157.8221475
-7.7308,108.24383,119,159.8775035
-7.73057,108.24312,119,161.5461158
-7.73035,108.24242,119,162.9572299
-7.73013,108.24171,119,164.1110232
-7.7299,108.24101,108,164.7768225
-7.72968,108.2403,108,165.2815874
-7.72945,108.2396,108,165.2415317
-7.72923,108.23889,108,165.0980291
-7.72901,108.23819,106,164.5927822
-7.72878,108.23748,86,163.6976968
-7.72856,108.23677,86,162.5837325
-7.72833,108.23607,86,160.900604
-7.72811,108.23536,86,159.1390443
-7.72789,108.23466,86,157.0194415
-7.72766,108.23395,86,154.3897624
-7.72744,108.23325,84,152.0398711
-7.72722,108.23254,84,152.5277318
-7.727,108.23184,84,152.7744114
-7.72677,108.23113,84,152.6922562
-7.72655,108.23043,84,152.6135798
-7.72633,108.22972,84,152.4497234
-7.72611,108.22902,110,151.9597696
-7.72588,108.22831,110,151.2132259
-7.72566,108.22761,110,150.4897102
-7.72543,108.2269,110,149.4089334
-7.72521,108.2262,110,148.3609803
-7.72499,108.2255,123,147.1117235
-7.72477,108.22479,122,145.8151247
-7.72454,108.22409,122,144.0054119
-7.72432,108.22338,122,142.3794657
-7.7241,108.22268,122,140.5283994
-7.72388,108.22198,122,138.5179967
-7.72366,108.22127,122,136.4095019
-7.72343,108.22057,140,133.727741
-7.72321,108.21987,140,131.2359192
-7.72299,108.21916,140,128.6427822
-7.72277,108.21846,140,125.8318394
-7.72255,108.21776,140,122.8620117
-7.72232,108.21705,140,119.4689961
-7.7221,108.21635,177,118.4811606
-7.72188,108.21565,177,120.5465459
-7.72166,108.21495,177,122.7442822
-7.72143,108.21424,177,124.8959348
-7.72121,108.21354,177,127.3625333
-7.72099,108.21284,177,129.9616936
-7.72076,108.21214,185,132.373894
-7.72054,108.21143,185,135.3774001
-7.72032,108.21073,185,138.3789738
-7.72009,108.21003,185,141.2211729
-7.71987,108.20933,185,144.4914953
-7.71965,108.20863,185,147.8947859
-7.71942,108.20792,158,151.3433428
-7.7192,108.20722,158,155.0156547
-7.71898,108.20652,158,158.8211503
-7.71876,108.20582,158,162.7598968
-7.71853,108.20511,158,166.7051906
-7.71831,108.20441,158,170.9145875
-7.71809,108.20371,159,175.2556235
-7.71787,108.20301,159,179.7319855
-7.71764,108.20231,159,184.0828244
-7.71742,108.2016,159,188.9785931
-7.7172,108.2009,159,193.8597478
-7.71697,108.2002,159,198.6246227
-7.71675,108.1995,186,202.4311481
-7.71653,108.19879,175,204.984194
-7.7163,108.19809,175,206.3335503
-7.71608,108.19739,175,207.9112793
-7.71585,108.19669,175,209.0631298
-7.71563,108.19598,175,210.571495
-7.71541,108.19528,156,211.8871917
-7.71518,108.19458,156,212.7430358
-7.71496,108.19388,156,213.8385337
-7.71474,108.19317,156,214.9597692
-7.71452,108.19247,156,215.8642478
-7.7143,108.19177,156,216.6736074
-7.71407,108.19106,165,217.1471693
-7.71385,108.19036,165,217.7637064
-7.71363,108.18966,165,218.2852154
-7.71341,108.18896,165,218.7117289
-7.71319,108.18825,165,219.1595055
-7.71297,108.18755,165,219.3954417
-7.71274,108.18685,166,219.1739474
-7.71252,108.18615,166,219.2178931
-7.71229,108.18545,180,218.7850089
-7.71207,108.18475,180,218.6371871
-7.71184,108.18405,180,218.0244135
-7.71162,108.18334,180,217.7961919
-7.7114,108.18264,180,211.9177774
-7.71117,108.18194,180,205.8688194
-7.71095,108.18124,180,200.4315187
-7.71072,108.18054,180,194.8887002
-7.7105,108.17984,180,189.9465054
-7.71027,108.17914,166,184.9252765
-7.71005,108.17843,166,180.5213042
-7.70983,108.17773,166,176.3208067
-7.7096,108.17703,166,172.042529
-7.70938,108.17633,166,168.3371962
-7.70916,108.17562,166,164.9269048
-7.70893,108.17492,171,161.401456
-7.70871,108.17422,171,158.4378028
-7.70849,108.17351,171,155.7745232
