Lintang,Bujur,Tinggi_Ortometrik,FAA
-9.04225,112.70432,-2168.794,-422.79781
-6.43161,110.81763,22,-421.25168
-9.24353,114.0671,-3588.113,-375.03506
-6.44171,110.81443,26,-374.78182
-7.93609,113.19296,406,-354.26082
-6.42156,110.82078,6.49,-341.04934
-7.92594,113.19611,333,-336.95755
-7.94625,113.18971,488,-302.52234
-6.45189,110.81134,49,-290.93152
-7.91578,113.19927,255,-286.48455
-8.03295,112.59304,411,-260.36874
-9.23335,114.0702,-3575.232,-254.19076
-8.0231,112.5961,424,-253.58542
-6.41135,110.82391,1.616,-236.57143
-8.01314,112.59921,447,-215.79369
-7.38812,113.79217,-56.373,-215.44436
-7.39796,113.78959,-56.756,-212.62497
-7.95639,113.18648,552,-209.45302
-7.37835,113.79469,-54.974,-208.49235
-7.05841,113.75324,89,-202.93919
-7.28564,111.40272,101,-202.29079
-7.06942,113.74981,146,-199.43203
-7.28775,111.40195,109,-199.14019
-8.04368,112.732,558,-198.57965
-7.04745,113.75676,39,-196.67716
-7.33106,111.10445,96,-195.36394
-8.05403,112.72872,546,-194.86997
-7.40766,113.78652,-56.947,-194.46834
-7.66547,113.84845,-65.435,-193.36744
-8.04262,112.59004,396,-192.09783
-7.36863,113.79725,-54.589,-191.26029
-6.69125,114.29471,-73.093,-190.22887
-7.66497,113.84864,-65.435,-187.19689
-7.2955,111.39966,119,-185.79626
-6.70176,114.29144,-70.454,-185.42757
-7.40044,112.36177,30,-185.00006
-9.03458,112.84998,-1796.45,-183.78225
-8.03334,112.7353,563,-179.67838
-7.70173,112.12559,68,-179.33079
-7.712,112.1224,69,-177.81679
-8.96093,113.44202,-1940.729,-176.76531
-6.68127,114.29788,-74.999,-175.92971
-7.03641,113.76021,33,-175.47566
-7.69147,112.12885,62,-174.74743
-8.97163,113.43885,-1968.675,-174.26323
-7.90565,113.20246,158,-172.71639
-7.72227,112.1192,72,-172.70328
-7.39057,112.36491,41,-171.6486
-7.41733,113.78347,-59.095,-171.61013
-6.46199,110.80815,63,-169.53825
-7.68119,112.1321,60,-168.56275
-7.08057,113.74631,209,-168.32704
-8.06448,112.72546,536,-168.28621
-7.62016,112.15126,55,-166.51264
-7.2979,111.39879,105,-165.867
-9.03281,112.7072,-2150.76,-165.34987
-9.02206,112.99637,-1855.639,-164.96624
-7.19483,105.38165,-1673.274,-163.64393
-7.73248,112.11599,73,-163.24692
-7.62997,112.14815,56,-162.06979
-7.20453,105.37858,-1739,-161.96177
-7.35901,113.79994,-52.271,-161.63975
-7.3492,105.62298,-2250,-160.09592
-7.61046,112.15429,58,-159.34832
-7.67081,112.13535,57,-158.10249
-7.32699,105.92045,-2506.138,-157.98558
-7.3395,105.62608,-2268,-157.75382
-7.33691,105.9173,-2503.772,-157.64531
-7.31707,105.92359,-2510.945,-157.53853
-7.18514,105.38471,-1626,-157.39635
-7.30716,105.92675,-2510.298,-156.17853
-7.34173,111.10108,74,-155.44348
-7.63994,112.145,56,-155.3668
-7.41033,112.35868,28,-154.9231
-7.3298,105.62915,-2270.5,-154.72588
-7.29723,105.9299,-2503.725,-153.94343
-7.38069,112.36799,57,-153.65915
-7.21425,105.37552,-1656,-152.66118
-8.95026,113.44541,-1915.089,-152.46158
-7.66047,112.13861,55,-151.87954
-7.28727,105.93306,-2491.822,-150.73131
-7.32011,105.63223,-2263,-150.70068
-7.2776,111.40513,96,-149.65653
-7.65011,112.14184,57,-149.57544
-8.76626,113.83624,-897.501,-148.69849
-7.60057,112.15736,51,-147.89492
-7.98282,109.33811,-37.463,-147.77468
-7.31045,105.63531,-2270,-146.83247
-7.2773,105.93622,-2482.366,-146.76323
-7.74268,112.11279,79,-146.39971
-7.20885,105.81221,-2273.8,-145.85257
-7.02543,113.76368,27,-144.67432
-7.22398,105.37244,-1690,-143.66787
-7.3008,105.63838,-2270,-142.92365
-9.02431,112.85301,-1780.869,-142.22201
-7.26731,105.93937,-2471.357,-141.74954
-7.19823,105.8156,-2259.623,-140.75131
-8.98237,113.43594,-1993.453,-139.31716
-7.29115,105.64144,-2251.304,-139.30372
-6.7121,114.28828,-69.534,-139.25819
-7.00934,105.29463,-370.714,-137.84227
-7.17548,105.3878,-1572.315,-137.27428
-7.25733,105.94254,-2452.242,-136.00121
-7.28147,105.64451,-2261.171,-135.61145
-7.37081,112.37112,64,-135.34077
-7.27576,111.40584,96,-135.089
-7.23371,105.36935,-1755.5,-133.96962
-7.18762,105.81897,-2248.19,-133.92265
-7.02063,105.29098,-512.267,-133.07442
-8.02298,112.73853,566,-132.91324
-7.27178,105.64758,-2234,-131.48427
-7.75293,112.1096,83,-130.36629
-7.42696,113.78058,-58.226,-130.01884
-7.24732,105.94571,-2440.596,-129.53005
-7.24344,105.36626,-1787,-128.91676
-7.09175,113.74292,215,-127.88432
-7.25319,105.36318,-1801,-127.83681
-7.59041,112.16051,48,-126.60235
-7.26208,105.65067,-2186.435,-126.59595
-7.17701,105.82234,-2231.423,-126.07827
-7.34955,113.80287,-49.478,-125.25563
-7.23731,105.94888,-2415.601,-122.61727
-7.25238,105.65375,-2154,-121.16183
-7.3608,112.37419,75,-118.16219
-7.16638,105.8257,-2207.88,-117.42918
-6.99804,105.29823,-326.748,-116.1936
-7.22729,105.95205,-2398.176,-116.16298
-7.76314,112.10637,87,-115.3243
-7.24266,105.65684,-2128.5,-114.98802
-6.67139,114.30095,-75.998,-114.44384
-8.05238,112.58686,385,-114.09405
-7.16584,105.39086,-1503.461,-114.01954
-7.73795,113.1128,12,-113.55279
-7.21726,105.95523,-2386.087,-109.76961
-9.22318,114.07331,-3613.233,-109.22215
-6.69714,113.29508,-51.706,-108.91325
-6.40109,110.82714,-2.75,-108.58131
-7.2329,105.65994,-2124,-108.31163
-7.15575,105.82908,-2186.165,-107.75193
-7.01437,113.7672,61,-106.96506
-8.00324,112.60229,447,-106.88956
-8.60081,112.41467,-771.758,-106.13349
-7.74772,113.10975,22,-104.55371
-7.83453,112.08394,118,-104.50861
-6.68694,113.29824,-53.773,-103.97241
-7.58039,112.16373,48,-103.65137
-7.20724,105.95842,-2376.942,-103.60165
-7.84461,112.08079,115,-102.95664
-7.77343,112.10317,88,-102.5462
-8.07502,112.7222,548,-102.2537
-7.72817,113.11586,5,-102.0365
-7.22311,105.66303,-2099,-101.27873
-7.3524,111.09773,70,-101.22959
-7.35073,112.37737,62,-100.39178
-7.42019,112.35561,28,-99.54916
-6.70157,105.10207,-570.255,-98.08457
-7.14514,105.83245,-2138.164,-97.16114
-7.19721,105.9616,-2362.992,-97.07881
-7.8548,112.0776,123,-94.98028
-7.82455,112.08708,108,-94.60529
-7.21328,105.66612,-2061.207,-94.01439
-7.34013,113.80603,-47.956,-93.13629
-7.03194,105.28737,-816.711,-92.2818
-7.78378,112.09993,93,-91.17953
-6.7073,113.29192,-50.411,-91.08909
-8.46465,110.74856,-357.498,-90.99974
-7.43657,113.77754,-56.556,-90.67205
-7.18718,105.96476,-2336.3,-90.42624
-6.72199,114.28518,-67.753,-90.23851
-7.33525,112.09802,97,-90.19457
-7.54415,113.45911,-64.959,-89.49417
-6.41187,109.40403,-45.478,-89.12789
-7.15622,105.39392,-1453.643,-89.03342
-8.59113,112.41768,-743.216,-88.00431
-8.01266,112.74177,567,-87.50202
-7.20343,105.66922,-2024.02,-87.4861
-6.14608,111.04945,-55.036,-87.47581
-7.55375,113.45604,-63.404,-86.96194
-7.96658,113.18331,674,-86.93864
-7.81439,112.09025,104,-86.82739
-7.39931,112.2495,50,-86.4805
-9.01404,112.85601,-1779.265,-85.74961
-7.32515,112.1012,83,-85.5771
-7.53452,113.46214,-65.756,-85.41428
-7.79406,112.09669,101,-85.40202
-7.13453,105.83581,-2062.528,-85.31367
