Lintang,Bujur,Tinggi_Ortometrik,FAA
-7.83589,108.57600,-88.532,147.26996
-7.83250,108.56527,-122.044,165.81072
-7.82909,108.55451,-134.226,168.34892
-7.82566,108.54373,-109.430,149.24214
-7.82224,108.53292,-69.804,118.55666
-7.81883,108.52209,-46.614,163.93158
-7.81541,108.51127,-29.322,189.69360
-7.81201,108.50046,-28.848,177.52988
-7.80860,108.48966,-27.848,164.16786
-7.80519,108.47887,-14.710,154.11715
-7.80177,108.46808,14.000,145.30471
-7.79836,108.45731,18.000,155.79683
-7.79495,108.44657,20.000,170.60331
-7.79156,108.43583,47.000,185.07533
-7.78817,108.42511,46.000,164.85271
-7.78479,108.41438,65.000,132.85316
-7.78142,108.40369,53.000,139.91098
-7.77804,108.39301,65.000,154.79549
-7.77465,108.38232,96.000,141.31542
-7.77125,108.37162,94.000,134.88502
-7.76784,108.36088,93.000,145.65134
-7.76444,108.35014,105.000,179.10087
-7.76105,108.33940,131.000,168.85869
-7.75766,108.32866,72.000,151.43169
-7.75428,108.31793,85.000,143.38154
-7.75091,108.30727,104.000,148.60022
-7.74754,108.29663,111.000,158.94881
-7.74418,108.28604,103.000,150.49560
-7.74084,108.27546,103.000,148.42893
-7.73750,108.26492,93.000,149.08093
-7.73415,108.25438,86.000,139.81681
-7.73080,108.24383,119.000,159.87750
-7.72744,108.23325,84.000,152.03987
-7.72410,108.22268,122.000,140.52840
-7.72076,108.21214,185.000,132.37389
-7.71742,108.20160,159.000,188.97859
-7.71407,108.19106,165.000,217.14717
-7.71072,108.18054,180.000,194.88870
-7.70739,108.16999,190.000,145.96659
-7.70403,108.15940,171.000,118.07848
-7.70064,108.14877,99.000,135.84805
-7.69726,108.13810,229.000,150.15375
-7.69385,108.12742,238.000,160.89193
-7.69047,108.11676,256.000,148.56958
-7.68711,108.10613,188.000,155.17261
-7.68374,108.09551,239.000,164.69190
-7.68039,108.08494,187.000,181.57418
-7.67707,108.07444,218.000,181.32622
-7.67376,108.06396,217.000,175.53597
-7.67043,108.05350,257.000,181.96694
-7.66711,108.04303,266.000,190.97594
-7.66376,108.03256,147.000,193.65462
-7.66042,108.02206,258.000,173.40231
-7.65707,108.01156,264.000,162.62286
-7.65375,108.00105,282.000,171.18267
-7.65041,107.99054,386.000,190.73877
-7.64710,107.98006,391.000,193.85694
-7.64379,107.96963,418.000,196.11625
-7.64049,107.95922,340.000,195.68601
-7.63718,107.94884,456.000,197.58794
-7.63388,107.93848,360.000,182.78066
-7.63060,107.92816,156.000,167.84051
-7.62734,107.91788,234.000,156.08150
-7.62406,107.90759,498.000,150.35830
-7.62077,107.89733,291.000,157.85631
-7.61754,107.88713,309.000,175.65247
-7.61430,107.87691,522.000,255.74979
-7.61105,107.86667,404.000,303.46091
-7.60781,107.85639,362.000,271.99276
-7.60455,107.84612,189.000,231.28315
-7.60128,107.83583,235.000,320.71445
-7.59795,107.82553,441.000,329.03812
-7.59469,107.81524,319.000,286.02357
-7.59143,107.80500,461.000,202.12522
-7.58818,107.79477,419.000,141.27945
-7.58493,107.78456,352.000,93.88695
-7.58170,107.77433,233.000,97.58099
-7.41297,107.80719,1468.000,200.40946
-7.41626,107.81751,1437.000,182.84670
-7.41954,107.82782,1291.000,211.02027
-7.42284,107.83819,1122.000,234.30887
-7.42613,107.84858,983.000,251.63214
-7.42944,107.85897,997.000,248.59265
-7.43279,107.86941,960.000,239.50877
-7.43611,107.87989,825.000,220.65348
-7.43945,107.89035,701.000,203.06443
-7.44275,107.90079,667.000,187.59959
-7.44607,107.91119,721.000,178.83864
-7.44941,107.92161,754.000,172.33973
-7.45271,107.93198,788.000,169.01545
-7.45597,107.94231,823.000,165.00425
-7.45923,107.95262,932.000,162.44049
-7.46251,107.96290,916.000,165.75327
-7.46578,107.97317,904.000,175.98813
-7.46905,107.98348,890.000,191.88450
-7.47234,107.99380,890.000,215.54363
-7.47562,108.00413,836.000,235.22325
-7.47888,108.01442,847.000,248.61541
-7.48214,108.02467,839.000,258.57437
-7.48538,108.03490,813.000,245.19921
