Lintang,Bujur,Tinggi_Ortometrik,FAA
-6.45324,108.28440,63.900,33.09236
-6.46257,108.26440,150.500,35.82200
-6.47012,108.26570,185.800,38.69822
-6.47414,108.27300,269.900,45.91132
-6.48240,108.27380,336.600,53.00603
-6.42285,108.26470,24.100,29.88414
-6.42307,108.26150,25.600,30.42288
-6.42241,108.25330,27.500,31.02274
-6.42220,108.25010,25.900,31.55294
-6.42152,108.24380,22.800,31.84940
-6.42042,108.24230,20.000,31.37691
-6.41528,108.24020,22.000,31.28734
-6.41437,108.23390,26.300,31.56322
-6.41399,108.23190,30.000,31.56323
-6.41425,108.22440,29.800,31.37628
-6.41349,108.22080,33.800,31.19652
-6.41093,108.21490,27.800,30.22518
-6.41473,108.21460,32.100,30.95682
-6.47554,108.20230,204.800,50.05476
-6.47387,108.21080,210.600,49.89914
-6.44589,108.23450,114.900,49.55652
-6.45249,108.24140,80.400,44.40188
-6.44478,108.22300,334.100,67.62274
-6.45494,108.21010,140.700,40.88005
-6.48304,108.22590,432.000,67.76385
-6.47184,108.24170,210.000,45.33489
-6.48188,108.24260,461.400,73.66306
-6.46422,108.25250,124.900,34.68490
-6.48054,108.25190,359.100,60.76968
-6.47349,108.25540,272.000,49.20277
-6.48486,108.24050,515.400,81.58222
-6.48349,108.22870,511.500,79.14604
-6.44226,108.25430,43.500,34.97458
-6.46255,108.21360,189.000,46.62886
-6.45269,108.25110,64.600,38.05955
-6.43332,108.25570,36.500,32.61281
-6.48160,108.19320,189.600,54.82953
-6.45075,108.21490,123.600,41.83485
-6.41403,108.24240,18.000,29.93731
-6.41437,108.25490,22.000,29.97555
-6.41087,108.26300,16.500,28.81738
-6.42001,108.27120,19.200,29.31811
-6.41232,108.27540,14.700,28.93261
-6.41502,108.27340,17.000,29.08874
-6.41245,108.28370,13.400,28.77862
-6.48288,108.21270,384.900,69.02709
-6.45435,108.24260,83.900,42.76507
-6.45406,108.21550,118.700,40.30538
-6.48304,108.26030,389.400,64.26304
-6.47452,108.26380,283.000,49.39793
-6.46405,108.26040,175.700,38.74242
-6.48030,108.21570,332.600,62.81362
-6.47469,108.23430,292.300,53.01561
-6.47448,108.24090,342.900,59.40097
-6.48445,108.26540,388.500,61.61669
-6.43197,108.20110,47.500,39.04623
-6.40514,108.22390,24.100,29.85851
-6.41116,108.25190,15.400,29.18194
-6.41484,108.26390,19.300,29.96249
-6.41153,108.27110,13.600,28.50877
-6.48542,108.19280,319.800,67.34851
-6.43526,108.28270,31.100,29.64657
-6.41373,108.17510,35.900,28.38011
