Lintang,Bujur,Tinggi_Ort,CBA
-6.61846,113.60454,-50.45,-83.553164
-7.87631,111.50161,118,-83.204753
-7.37208,114.65336,-89.734,-82.158952
-7.57059,112.16686,46,-82.07621
-7.33107,110.25199,618,-82.060192
-7.05152,109.91398,568,-81.704308
-7.35068,114.66003,-96.302,-81.475336
-8.61036,112.41169,-787.564,-81.432942
-7.91637,114.48312,-147.206,-81.356415
-7.9061,114.48631,-176.987,-80.878944
-6.13585,111.05262,-53.441,-80.55245
-7.5628,112.88263,-10.762,-79.959698
-6.62858,113.6014,-52.753,-79.105809
-7.3492,105.62298,-2250,-79.08088
-6.43176,109.39781,-48.392,-78.789535
-7.87538,112.07116,138,-78.744847
-7.23371,105.36935,-1755.5,-78.556084
-7.36547,112.08858,103,-78.470131
-7.0306,109.92051,348,-78.139766
-7.56348,113.453,-61.264,-77.588938
-7.0033,113.77062,182,-77.45099
-7.52486,113.46514,-67.559,-76.889092
-7.3395,105.62608,-2268,-76.686089
-7.39687,110.80005,153,-76.164543
-7.16584,105.39086,-1503.461,-75.249623
-7.55208,112.88597,-7.327,-75.138665
-7.89587,114.48951,-197.526,-74.878487
-7.57353,112.87927,-15.22,-73.95775
-7.3298,105.62915,-2270.5,-73.766278
-7.40689,110.7969,155,-73.358245
-6.79296,110.42057,-19.307,-72.476162
-7.75745,113.10668,33,-72.144735
-7.38688,110.80317,144,-71.924315
-6.74831,111.00267,45,-71.818754
-7.24344,105.36626,-1787,-71.242831
-7.26419,113.83141,-15.706,-70.977203
-6.12565,111.05578,-52.287,-70.670549
-6.67675,113.30143,-54.776,-70.14521
-7.32011,105.63223,-2263,-70.03661
-7.56899,113.16564,-23.698,-69.853663
-7.40244,112.25926,47,-69.839006
-7.74704,109.26965,-30.545,-69.832534
-7.3012,112.5371,14,-69.093285
-7.52123,110.90276,96,-69.081738
-6.47213,110.80499,64,-69.042842
-6.92079,109.81288,67,-68.819377
-7.33076,113.80934,-46.781,-68.75643
-7.27374,113.82843,-22.864,-68.689631
-7.41689,110.79376,155,-68.561443
-7.5111,110.90594,88,-68.452167
-8.98237,113.43594,-1993.453,-68.397624
-7.85079,112.22,320,-68.14614
-6.71743,113.28878,-49.607,-67.959256
-7.38271,114.65002,-90.686,-67.868429
-7.25319,105.36318,-1801,-67.704949
-7.53138,110.89955,95,-67.437007
-7.50096,110.90911,85,-67.208239
-7.53666,113.31796,-56.035,-66.812778
-7.54137,112.8893,-6.639,-66.733222
-7.31045,105.63531,-2270,-66.628552
-7.36308,111.09438,72,-66.579223
-5.99137,105.1078,-912.715,-66.560032
-7.32139,110.25502,640,-66.116654
-7.57887,113.16254,-22.534,-66.095577
-7.49081,110.9123,84,-65.941521
-7.7184,113.11892,-1.349,-65.722586
-7.92664,114.47989,-130.584,-65.660795
-7.37693,110.80627,132,-65.477049
-7.20885,105.81221,-2273.8,-65.267864
-7.3053,111.39661,101,-65.181837
-6.11546,111.05896,-51.934,-64.788833
-7.52627,113.32121,-58.181,-64.47381
-7.34096,110.24895,534,-64.348295
-7.28343,113.82544,-31.852,-64.026684
-7.32699,105.92045,-2506.138,-64.02183
-7.31707,105.92359,-2510.945,-63.890743
-7.48064,110.91549,84,-63.711
-6.98673,105.30183,-280.486,-63.655261
-7.3008,105.63838,-2270,-63.427896
-7.33691,105.9173,-2503.772,-63.387717
-7.55911,113.16871,-26.109,-63.257133
-7.3886,110.66087,304,-62.990844
-7.30716,105.92675,-2510.298,-62.942929
-7.42693,110.79063,160,-62.933441
-7.51523,113.46814,-69.221,-62.847696
-7.39894,110.65764,327,-62.560123
-7.25465,113.83441,-11.014,-62.308486
-7.47051,110.91868,81,-62.26471
-7.46038,110.92187,79,-62.126318
-7.58424,112.87592,-21.542,-61.955195
-7.69216,113.26932,-22.097,-61.922553
-6.18717,111.03661,-56.369,-61.812314
-6.84178,110.40521,-19.976,-61.743487
-7.88559,114.49274,-196.37,-61.630133
-6.44171,109.39467,-47.853,-61.621953
-7.19823,105.8156,-2259.623,-61.535215
-7.33067,112.38366,33,-61.484343
-7.54157,110.89637,99,-61.212199
-7.29723,105.9299,-2503.725,-61.203372
-7.68181,113.27256,-20.968,-61.169825
-7.67959,112.84608,29,-61.032906
-7.99201,112.74818,559,-60.87098
-7.87477,108.80386,-77.688,-60.812839
-7.88561,112.06797,140,-60.789329
-7.29115,105.64144,-2251.304,-60.701229
-7.65478,113.85178,-46.622,-60.401415
-7.66891,112.8494,25,-60.289738
